site,side,year,zone,Species,Density
SIREN,CEN,2017,MID,Macrocystis,2.5
SIREN,CEN,2017,MID,Nereocystis,0
SIREN,CEN,2017,OUTER,Macrocystis,135
SIREN,CEN,2017,OUTER,Nereocystis,0
SIREN,CEN,2018,INNER,Macrocystis,405
SIREN,CEN,2018,INNER,Nereocystis,0
SIREN,CEN,2018,MID,Macrocystis,13.5
SIREN,CEN,2018,MID,Nereocystis,0
SIREN,CEN,2018,OUTER,Macrocystis,6
SIREN,CEN,2018,OUTER,Nereocystis,2
SIREN,CEN,2019,INNER,Macrocystis,30.5
SIREN,CEN,2019,INNER,Nereocystis,0
SIREN,CEN,2019,MID,Macrocystis,10
SIREN,CEN,2019,MID,Nereocystis,0
SIREN,CEN,2019,OUTER,Macrocystis,160.5
SIREN,CEN,2019,OUTER,Nereocystis,1
